Name,Description,Price,Category
Tempe Kukus,"Tempe kukus tanpa minyak, tinggi protein dan serat.",8000,Healthy
Sayur Bening Bayam,"Sup bayam bening dengan jagung dan wortel, rendah kalori.",7000,Healthy
Tumis Pare,"Tumis pare tanpa gula tambahan, baik untuk gula darah.",10000,Healthy
Nasi Merah,"Nasi dari beras merah, tinggi serat dan rendah glikemik.",5000,Healthy
Pecel Sayur,Sayur rebus dengan sambal kacang tanpa gula.,15000,Healthy
Sup Tahu Sayur,"Sup dengan tahu dan sayur, rendah lemak.",10000,Moderately Healthy
Jus Jambu Merah Tanpa Gula,"Jus jambu tanpa gula tambahan, kaya vitamin C.",8000,Moderately Healthy
Ubi Rebus,"Ubi jalar rebus, tinggi serat dan rendah glukosa.",5000,Moderately Healthy
Nasi Uduk,"Nasi dengan santan, cukup gurih dan mengenyangkan.",10000,Moderately Healthy
Lontong Sayur,Lontong dengan kuah santan dan sayur labu.,12000,Moderately Healthy
Martabak Manis,"Martabak dengan topping keju dan susu, tinggi gula dan kalori.",20000,Unhealthy
Gorengan,"Aneka gorengan seperti bakwan dan tahu isi, tinggi lemak.",3000,Unhealthy
Indomie Goreng,"Mi instan goreng, tinggi sodium dan pengawet.",5000,Unhealthy
Sate Padang,"Sate daging dengan kuah kental, tinggi kolesterol.",20000,Unhealthy
Roti Bakar Cokelat Keju,"Roti bakar dengan selai cokelat dan keju, tinggi gula dan lemak.",15000,Unhealthy
